Start Time (UTC) = 1729584223.221370
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
6.477600	1559.4686	1554.1655	1549.1766	1545.0536	1542.3398	1559.5653	1553.7203	1549.1063	1546.4569	1542.6638
6.478400	1559.4686	1554.1647	1549.1766	1545.0536	1542.3398	1559.5653	1553.7195	1549.1063	1546.4562	1542.6646
6.479200	1559.4678	1554.1647	1549.1766	1545.0528	1542.3406	1559.5645	1553.7195	1549.1071	1546.4562	1542.6638
6.480000	1559.4678	1554.1647	1549.1759	1545.0536	1542.3398	1559.5661	1553.7203	1549.1078	1546.4569	1542.6638
6.480800	1559.4670	1554.1647	1549.1766	1545.0536	1542.3398	1559.5661	1553.7203	1549.1071	1546.4569	1542.6638
6.481600	1559.4686	1554.1647	1549.1766	1545.0536	1542.3406	1559.5645	1553.7195	1549.1071	1546.4569	1542.6638
6.482400	1559.4678	1554.1647	1549.1766	1545.0544	1542.3406	1559.5645	1553.7195	1549.1063	1546.4569	1542.6646
6.483200	1559.4678	1554.1639	1549.1782	1545.0528	1542.3406	1559.5653	1553.7195	1549.1071	1546.4569	1542.6646
6.484000	1559.4678	1554.1639	1549.1766	1545.0536	1542.3406	1559.5645	1553.7195	1549.1071	1546.4562	1542.6638
6.484800	1559.4678	1554.1639	1549.1774	1545.0536	1542.3414	1559.5653	1553.7187	1549.1078	1546.4562	1542.6646
6.485600	1559.4686	1554.1639	1549.1759	1545.0536	1542.3406	1559.5645	1553.7195	1549.1071	1546.4562	1542.6646
6.486400	1559.4678	1554.1647	1549.1766	1545.0544	1542.3398	1559.5661	1553.7203	1549.1071	1546.4569	1542.6646
6.487200	1559.4678	1554.1647	1549.1759	1545.0544	1542.3398	1559.5653	1553.7203	1549.1078	1546.4569	1542.6646
